"","state","casesum","deathsum","mortality","moderna_2nd_dose_allocations_sum","pfizer_2nd_dose_allocations_sum","POPESTIMATE2020","pfizer_2nd_dose_allocations_rate","moderna_2nd_dose_allocations_rate"
"1","Alabama",806560,14756,0.0182949811545328,834960,1131930,4921532,0.229995456699255,0.169654489699549
"2","Alaska",120496,574,0.00476364360642677,151860,214740,731158,0.293698489245826,0.207697925756129
"3","Arizona",1114061,20319,0.0182386781334236,1183560,1603440,7421401,0.216056240593926,0.159479322030975
"4","Arkansas",501518,7810,0.015572721218381,506920,691470,3030522,0.228168612536058,0.167271512960473
"5","California",4789773,70132,0.0146420300085202,6658300,8980920,39368078,0.228126961138413,0.169129414953913
"6","Colorado",692082,7913,0.0114336162477857,946800,1283220,5807719,0.220950772583866,0.163024416298378
"7","Connecticut",394008,8667,0.0219970152890297,626920,855090,3557006,0.240395995958399,0.176249351280262
"8","Delaware",136682,1997,0.0146105558888515,166240,236340,986809,0.239499234400983,0.168462184678089
"9","District of Columbia",62266,1182,0.0189830726239039,126120,180630,712816,0.253403402841687,0.176932055397185
"10","Florida",3601755,56667,0.015733163416168,3642160,4910130,21733312,0.225926448762158,0.167584213579596
"11","Georgia",1567598,26215,0.0167230374113772,1726760,2336580,10710017,0.218167720928921,0.161228502251677
"12","Hawaii",78597,830,0.0105601994987086,248160,346590,1407006,0.246331572146814,0.176374514394395
"13","Idaho",267711,3118,0.0116468878753581,261720,364860,1826913,0.199713943685331,0.143258053339157
"14","Illinois",1655222,27965,0.0168950146868517,1728160,2336580,12587530,0.185626568516619,0.137291430487157
"15","Indiana",985949,15982,0.0162097633853272,1122040,1517850,6754953,0.224701785489847,0.166106263063562
"16","Iowa",461729,6654,0.0144110506379283,533000,726660,3163561,0.229696851111769,0.168481025022119
"17","Kansas",418664,6146,0.0146800298091071,486760,660960,2913805,0.226837417054333,0.167053045759754
"18","Kentucky",716455,9162,0.0127879629565011,759560,1035720,4477251,0.23132944746676,0.169648742051763
"19","Louisiana",747329,14173,0.0189648735697397,788080,1075590,4645318,0.231542813645912,0.169650387766779
"20","Maine",94348,1070,0.0113409929198287,239800,331380,1350141,0.245441031714465,0.177611079139142
"21","Maryland",541857,10563,0.0194940731595236,1033200,1401120,6055802,0.231368198630008,0.170613239996948
"22","Massachusetts",823485,18746,0.0227642276422764,1208000,1637460,6893574,0.237534260167513,0.175235661501567
"23","Michigan",1186800,22683,0.0191127401415571,1719000,2317230,9966555,0.23250059825085,0.172476848820881
"24","Minnesota",735759,8408,0.0114276549794158,942120,1276200,5657342,0.225582968114708,0.166530501426288
"25","Mississippi",494271,9811,0.0198494348242159,503240,690300,2966786,0.232676033930321,0.169624637570758
"26","Missouri",848938,12396,0.0146017730387849,1042160,1408770,6151548,0.229010649026879,0.169414267758294
"27","Montana",158851,2079,0.01308773630635,182360,256860,1080577,0.237706336522062,0.168761689356705
"28","Nebraska",271550,2700,0.00994292027250967,322120,442800,1937552,0.228535801877833,0.166251021908057
"29","Nevada",436244,7285,0.0166993700772962,499160,675630,3138259,0.215288158179424,0.159056343023313
"30","New Hampshire",124208,1497,0.0120523637768904,240200,331380,1366275,0.242542679914366,0.175806481125688
"31","New Jersey",1168312,27570,0.0235981484398003,1529920,2066220,8882371,0.232620321758684,0.172242298818638
"32","New Mexico",258943,4871,0.0188110896992774,359400,496170,2106319,0.235562609462289,0.170629425077588
"33","New York",2464979,55203,0.0223949169546678,1948840,2624580,19336776,0.13572996863593,0.100784122441094
"34","North Carolina",1427236,17121,0.0119959137802017,1742040,2352420,10600823,0.221909185730202,0.164330637347685
"35","North Dakota",137160,1669,0.0121682706328376,131200,181800,765309,0.237551106807838,0.171434022074744
"36","Ohio",1458747,22819,0.015642877071898,1998760,2700180,11693217,0.230918488898307,0.170933285510737
"37","Oklahoma",622780,9213,0.0147933459648672,656880,897300,3980783,0.225407915980349,0.165012762564551
"38","Oregon",341113,3982,0.0116735509933658,674760,920340,4241507,0.21698419924805,0.159084966734701
"39","Pennsylvania",1469847,29907,0.0203470157097984,1968900,2662650,12783254,0.208292035814981,0.154021816354427
"40","Puerto Rico",215895,3187,0.0147618055073068,598600,818730,3159343,0.259145651485135,0.18946977267109
"41","Rhode Island",174570,2854,0.0163487426247351,189080,261000,1057125,0.246896062433487,0.178862480785148
"42","South Carolina",874013,12929,0.0147926861499772,855120,1162440,5218040,0.222773301852803,0.163877624548681
"43","South Dakota",147820,2171,0.0146867812204032,145880,201150,892717,0.225323366755646,0.163411249029648
"44","Tennessee",1220612,15428,0.0126395611381831,1140960,1547730,6886834,0.224737520898573,0.165672644352978
"45","Texas",4123946,67659,0.0164063738952935,4559940,6149340,29360759,0.209440770928299,0.155307292975635
"46","Utah",520291,2994,0.00575447201662147,474320,643410,3249879,0.197979678628035,0.145950049217217
"47","Vermont",35204,332,0.00943074650607885,113480,164790,623347,0.264363187758985,0.182049484476544
"48","Virginia",888159,13075,0.0147214631614384,1450280,1966500,8590563,0.228913983868112,0.168822462509151
"49","Washington",680744,8068,0.0118517386859084,1196520,1621890,7693612,0.210809955064019,0.155521229820272
"50","West Virginia",250800,3935,0.0156897926634769,323960,442800,1784787,0.248096831722777,0.181511855476312
"51","Wisconsin",835193,9006,0.0107831363529148,1000800,1350090,5832655,0.231470916760892,0.171585667247591
"52","Wyoming",94303,1041,0.0110388852952716,100040,145440,582328,0.249756151172535,0.17179321619431
